,author,published_at,comment,like
110,@HartonoHartono-zp2se,2024-07-13T22:42:52Z,Mbangon. Ikn. Panjang. Waktunya. Biyayanya. Banyak. Yang. Di. Koropsi. Itu. Orang. Seneng. Koropi. Minta. Panjang. Waktunya. Seneng. Belat. Belit.,0
111,@muhadjir2703,2024-07-14T01:08:17Z,"Ya, waktu pembangunan  sangat panjang. Peluang korupsi pasti menggila... Rakyat tambah miskin.",0
112,@jukenkenji5382,2024-07-13T22:39:47Z,KALAU KITA SINGGUNG KORUPSI 271 T PENGECARA KEGELAPAN AKAN MERAMAIKAN KASUA VINA COBA BUKTIKAN,1
113,@HAT1909,2024-07-13T22:36:56Z,GrdCe dagang klontong aj.. ato dagang baut di asem reges... jgn politik ya... bau mulutnya..,0
114,@silashafara4423,2024-07-13T22:35:17Z,Rakyat masih kesusahan hutan belantara dibangun uangnya ngutang lagi apa kedepannya rakyat tidak tambah sengsara,0
115,@tatangmuhtar9460,2024-07-13T22:34:46Z,Wanita penjilat😂,0
116,@HeruBakri-nx4ef,2024-07-13T22:30:05Z,"Kita dukung terus pembangunan IKN , ibu kota baru , peradaban baru , dan juga modern 👍",9
117,@MurahRejeki-m6f,2024-07-13T23:08:33Z,Buat siapaaaaa? Emang rakyat butuh....?,1
118,@musafirdumay9409,2024-07-13T23:26:30Z,"Modern apanya ...kota  modern kox jalannya naik turun berbelok-belok??? Sudah study banding ke Ankara Turkey atw Canberra Australia belum, ???",0
119,@DragoEX,2024-07-13T23:45:04Z,"Setuju bang, sbg rakyat mendukung IKN ini plus minus slalu ada dari sbuah kebijakan tp ini bukan soal skrg tp masa depan negara ini.. Masyarakat sekitar ku pd setuju dan senang progress IKN trus berlanjut bgitu jg saudara2 sy di luar pulau Jawa. Baru kali ini ada pemerintahan yg membangun di luar Jawa bahkan pusat pemerintahan nya.. 👍👍",4
120,@iwansantoso8117,2024-07-14T00:40:24Z,IKN lbh cocok jd wahana wisata ea.,0
121,@DragoEX,2024-07-14T02:34:42Z,"@@iwansantoso8117 Bisa juga kemudian hari.. Bukan nya bangga ya sebagai anak bangsa bisa merasakan lingkungan pusat pemerintahan negara nya sendiri, dan bukan eksklusif hanya untuk Pejabat saja.. Makin cinta deh dg negeri ini ❤️🇮🇩",1
122,@rommuhdori1706,2024-07-13T22:27:56Z,Prreeeet ...,0
123,@nanaherdiana721,2024-07-13T22:26:02Z,Orang aneh ...😊😊😊,0
124,@babangtamvan2474,2024-07-13T22:21:23Z,"Gerombolan PSI'kopat gak perlu di up di media,, GAK BERGUNA.",0
