comment,author,publishedAt,likeCount
"Maksain tp klo ujung2nya narik pajak lg mending nggak usah sekalian. Mending anggarannya bikin lapangan kerja, pengangguran makin banyak tiap tahun.",@IqbalRazali-qu1io,2024-12-02T14:58:58Z,0
Anak anak di beri tau dulu berapa  banyak nya uang rakyat yang di bw para koruptor tu  supaya anak2 tau supaya menyadari dulu uanggnya di curi para korup2,@Ahmadldn,2024-12-02T14:25:52Z,0
"Blm mslh kemasannya, biaya pengiriman dn pengusaha katering untungnya brp itu?",@aniksetyorini3133,2024-12-02T14:21:59Z,0
Perihaten dulu dong nanti kalao para koruptor2 dah banyak yang di tangkap laa baru makan bergizi berdama sama rakyat kcl sama pak persiden  ok hey hey😊😅,@Ahmadldn,2024-12-02T14:20:05Z,0
Gak apa di turunin yang penting tu para koruptor2 di tangkap dulu biyar bisa nambah bergizinya santae dulu mbhs bergizinya  yang nggarong2 uang rayat tu di basrmi dulu eh hehey😅😅,@Ahmadldn,2024-12-02T14:17:03Z,0
Gak apa di turunin yang penting tu para koruptor2 di tangkap dulu biyar bisa nambah bergizinya santae dulu mbhs bergizinya  yang nggarong2 uang rayat tu di basrmi dulu eh hehey😅😅,@Ahmadldn,2024-12-02T14:16:14Z,0
10 ribu Mana dapat gizi 4sehat5 sempurna....😅...,@wicaksonoponco007,2024-12-02T13:25:07Z,0
Nasi pecel 10.000 lauk 1 telur.,@SuraBaya-pi5hf,2024-12-02T13:22:56Z,0
"Untuk anak2 di perkotaan gak dimakan,  mubazir, anggaran 10.000 sampai murid maksimal 7.000,-",@SuraBaya-pi5hf,2024-12-02T13:18:54Z,0
"bagus ini.
1. melatih anak² frugal living
2. meningkatkan perekonomian nasi padang murah",@AstomoPancoroPutro,2024-12-02T13:12:09Z,0
Nasi Padang murah jg GK ada yg 10 rb,@SriRahayu-qi1nb,2024-12-03T08:41:43Z,1
Itu kan harga Warung bos..,@FachriReginald,2024-12-02T12:56:01Z,0
Masih sukur ada makan  gratis gak mungkin pemerintah mkan GK bergizi udh pasti ada jalan keluar y baik,@AbangkuBangku-ep2bn,2024-12-02T12:51:57Z,0
10rb cuma dapat  telur goreng dua,@YuniIsbansiyah,2024-12-02T12:49:51Z,0
"Kalau di kampung dapat ayam tempe tahu sayur susu,karna partai besar kalu di kampung bisa Rp,10,000",@yuniayu2935,2024-12-02T12:28:48Z,0
"Buat Program, Tampa kajian yg kuat....yg omon omon......",@AbyanAlfaris,2024-12-02T12:24:33Z,0
Semoga probowo dan Gibran bisa makan tahunan tempe setiap harinya !!,@yandjap9109,2024-12-02T11:05:20Z,0
Porsi apaan itu bergizi 10 ribu ya menu makanannya ??😞,@yandjap9109,2024-12-02T11:02:13Z,0
Suruh aja prabowo dan Gibran yang makan itu.,@RevansSitorus,2024-12-02T10:25:16Z,0
SIAPA PRESIDENYA PARA KORUPTOR TETAP MEMBABIBUTA..... KOCLOK,@cakbas7068,2024-12-02T10:21:03Z,0
Anak-anaknya disuruh jadi vegan...,@abuhurairah6268,2024-12-02T10:18:04Z,0
buahahahahahaha rasain😂😂😂😂,@Maung-bx6iy,2024-12-02T09:29:09Z,0
dapat nasi ayam geprek tapi ayamnya kecil,@arisevitube,2024-12-02T09:08:47Z,0
😂😂😂,@HeriSetiawan-qe4xt,2024-12-02T06:40:07Z,0
1kata ku ucapkan sukur alhamdulilah bisa meguranggi bebaban hidup trima kasih bapak presidenku yg baik❤,@AwaludinnDarise,2024-12-02T06:26:19Z,2
Utk mkn 4 seht 5 sempurna TDK ckp,@SriRahayu-qi1nb,2024-12-03T08:40:33Z,0
Beli bakso saja disini gak dapat,@FajarTu,2024-12-02T06:07:59Z,0
Makan bergizi 10 rb rp itu kata si wowo kan kurang lebih? Hadeuh blm di pangkas lama2 nai tau tempe doang. Kenapa gak dikasih duit aja sih? Biar gak dikorup pejabatnya. Mikir pak kalo dulu kampanye jgn emosinya doang. Mungkin betul dari kang wowo 10 rb. Sampe di tujuan bisa jd nasi kucing gak bergizi pula. 10 rb k9k mau begizi ? Mikir kang,@RoroAriani,2024-12-02T05:58:32Z,0
CUKUP GAK CUKUP HARUS DI EKSEKUSI DARIPADA MARTABAT DAN HARGA DIRI HANCUR DI MATA RAKYAT MAKANYA JANGAN TERGIUR JANJI JANJI MANIS TOH AKHIRNYA RAKYAT MERASAKAN ZONK LAGI...PAJAK NAIK SEMBAKO NAIK BBM PERTILITE DIBATASI DAN SEBAGAINYA...DAGELAN KABEH😢,@agussalman2844,2024-12-02T05:21:11Z,0
10000 dapet nasi 2 bungkus. Nasinya aja,@Irfan-d01,2024-12-02T04:55:17Z,0
10 dapet apa,@Irfan-d01,2024-12-02T04:54:50Z,0
